!Historical coverage (2009 - 2023) of the 2019 BiOp's Single-Year Loss Threshold for salmonids
!Shown as a percentage of the month that is limiting OMR to -3,500 cfs (50%) or to -2,500 cfs (75%)
OMR_SLMN_Coverage
Month   WYT  NoUse	Perc50
1	1	0.00	0.00
2	1	0.00	0.00
3	1	0.00	0.00
4	1	0.00	0.00
5	1	0.00	0.00
6	1	1.00	1.00
7	1	0.67	0.67
8	1	0.83	0.83
9	1	0.00	0.00
10	1	0.00	0.00
11	1	0.00	0.00
12	1	0.00	0.00
1	2	0.00	0.00
2	2	0.00	0.00
3	2	0.00	0.00
4	2	0.00	0.00
5	2	0.36	0.36
6	2	1.00	1.00
7	2	0.77	0.77
8	2	0.92	0.92
9	2	0.00	0.00
10	2	0.00	0.00
11	2	0.00	0.00
12	2	0.00	0.00
1	3	0.00	0.00
2	3	0.00	0.00
3	3	0.00	0.00
4	3	0.00	0.00
5	3	0.26	0.26
6	3	1.00	1.00
7	3	0.88	0.88
8	3	1.00	1.00
9	3	0.00	0.00
10	3	0.00	0.00
11	3	0.00	0.00
12	3	0.00	0.00
1	4	0.00	0.00
2	4	0.00	0.00
3	4	0.00	0.00
4	4	0.00	0.00
5	4	0.12	0.12
6	4	0.62	0.62
7	4	0.63	0.63
8	4	0.50	0.50
9	4	0.00	0.00
10	4	0.00	0.00
11	4	0.00	0.00
12	4	0.00	0.00
1	5	0.00	0.00
2	5	0.00	0.00
3	5	0.00	0.00
4	5	0.00	0.00
5	5	0.04	0.04
6	5	0.25	0.25
7	5	0.19	0.19
8	5	0.13	0.13
9	5	0.00	0.00
10	5	0.00	0.00
11	5	0.00	0.00
12	5	0.00	0.00
