!Daily switches for the operation of the proposed Fremont weir invert
! Feb 2017 Studies - Alternatives have gates open November 1 - March 15
FRENotch_OnOff
Day month   switch
1   1   0
2   1   0
3   1   0
4   1   0
5   1   0
6   1   0
7   1   0
8   1   0
9   1   0
10  1   0
11  1   0
12  1   0
13  1   0
14  1   0
15  1   0
16  1   0
17  1   0
18  1   0
19  1   0
20  1   0
21  1   0
22  1   0
23  1   0
24  1   0
25  1   0
26  1   0
27  1   0
28  1   0
29  1   0
30  1   0
31  1   0
1   2   1
2   2   1
3   2   1
4   2   1
5   2   1
6   2   1
7   2   1
8   2   1
9   2   1
10  2   1
11  2   1
12  2   1
13  2   1
14  2   1
15  2   1
16  2   1
17  2   1
18  2   1
19  2   1
20  2   1
21  2   1
22  2   1
23  2   1
24  2   1
25  2   1
26  2   1
27  2   1
28  2   1
29  2   1
30  2   1
31  2   1
1   3   1
2   3   1
3   3   1
4   3   1
5   3   1
6   3   1
7   3   1
8   3   1
9   3   1
10  3   1
11  3   1
12  3   1
13  3   1
14  3   1
15  3   1
16  3   1
17  3   1
18  3   1
19  3   1
20  3   1
21  3   1
22  3   1
23  3   1
24  3   1
25  3   1
26  3   1
27  3   1
28  3   1
29  3   1
30  3   1
31  3   1
1   4   1
2   4   1
3   4   1
4   4   1
5   4   1
6   4   1
7   4   1
8   4   1
9   4   1
10  4   1
11  4   1
12  4   1
13  4   1
14  4   1
15  4   1
16  4   1
17  4   1
18  4   1
19  4   1
20  4   1
21  4   1
22  4   1
23  4   1
24  4   1
25  4   1
26  4   1
27  4   1
28  4   1
29  4   1
30  4   1
31  4   1
1   5   1
2   5   1
3   5   1
4   5   1
5   5   1
6   5   1
7   5   1
8   5   1
9   5   1
10  5   1
11  5   1
12  5   1
13  5   1
14  5   1
15  5   1
16  5   1
17  5   1
18  5   1
19  5   1
20  5   1
21  5   1
22  5   1
23  5   1
24  5   1
25  5   1
26  5   1
27  5   1
28  5   1
29  5   1
30  5   1
31  5   1
1   6   1
2   6   1
3   6   1
4   6   1
5   6   1
6   6   1
7   6   1
8   6   1
9   6   1
10  6   1
11  6   1
12  6   1
13  6   1
14  6   1
15  6   1
16  6   0
17  6   0
18  6   0
19  6   0
20  6   0
21  6   0
22  6   0
23  6   0
24  6   0
25  6   0
26  6   0
27  6   0
28  6   0
29  6   0
30  6   0
31  6   0
1   7   0
2   7   0
3   7   0
4   7   0
5   7   0
6   7   0
7   7   0
8   7   0
9   7   0
10  7   0
11  7   0
12  7   0
13  7   0
14  7   0
15  7   0
16  7   0
17  7   0
18  7   0
19  7   0
20  7   0
21  7   0
22  7   0
23  7   0
24  7   0
25  7   0
26  7   0
27  7   0
28  7   0
29  7   0
30  7   0
31  7   0
1   8   0
2   8   0
3   8   0
4   8   0
5   8   0
6   8   0
7   8   0
8   8   0
9   8   0
10  8   0
11  8   0
12  8   0
13  8   0
14  8   0
15  8   0
16  8   0
17  8   0
18  8   0
19  8   0
20  8   0
21  8   0
22  8   0
23  8   0
24  8   0
25  8   0
26  8   0
27  8   0
28  8   0
29  8   0
30  8   0
31  8   0
1   9   0
2   9   0
3   9   0
4   9   0
5   9   0
6   9   0
7   9   0
8   9   0
9   9   0
10  9   0
11  9   0
12  9   0
13  9   0
14  9   0
15  9   0
16  9   0
17  9   0
18  9   0
19  9   0
20  9   0
21  9   0
22  9   0
23  9   0
24  9   0
25  9   0
26  9   0
27  9   0
28  9   0
29  9   0
30  9   0
31  9   0
1   10  0
2   10  0
3   10  0
4   10  0
5   10  0
6   10  0
7   10  0
8   10  0
9   10  0
10  10  0
11  10  0
12  10  0
13  10  0
14  10  0
15  10  0
16  10  0
17  10  0
18  10  0
19  10  0
20  10  0
21  10  0
22  10  0
23  10  0
24  10  0
25  10  0
26  10  0
27  10  0
28  10  0
29  10  0
30  10  0
31  10  0
1   11  0
2   11  0
3   11  0
4   11  0
5   11  0
6   11  0
7   11  0
8   11  0
9   11  0
10  11  0
11  11  0
12  11  0
13  11  0
14  11  0
15  11  0
16  11  0
17  11  0
18  11  0
19  11  0
20  11  0
21  11  0
22  11  0
23  11  0
24  11  0
25  11  0
26  11  0
27  11  0
28  11  0
29  11  0
30  11  0
31  11  0
1   12  0
2   12  0
3   12  0
4   12  0
5   12  0
6   12  0
7   12  0
8   12  0
9   12  0
10  12  0
11  12  0
12  12  0
13  12  0
14  12  0
15  12  0
16  12  0
17  12  0
18  12  0
19  12  0
20  12  0
21  12  0
22  12  0
23  12  0
24  12  0
25  12  0
26  12  0
27  12  0
28  12  0
29  12  0
30  12  0
31  12  0
